T1 R1 T2 R2 T3 R3 T4 R4 T5 R5
18.6 1.12e3 18.7 4.0 18.6 112.0 18.6 1.08e3 18.6 100.2
25.0 0.92e3 25.0 4.0 25.2 121.4 25.4 1.1e3 25.5 100.2
28.1 0.83e3 28.2 3.9 28.4 129.6 28.3 1.11e3 28.3 100.2
31.3 0.73e3 31.4 3.9 31.3 143.1 31.2 1.24e3 31.3 100.2
34.2 0.66e3 34.3 3.8 34.3 157.4 34.4 1.13e3 34.3 100.2
37.3 0.58e3 37.2 3.8 37.5 185.0 37.7 1.15e3 37.8 100.2
41.0 506.8 41.0 3.6 41.2 228.0 41.4 1.16e3 41.5 100.1
44.4 410.0 45.2 3.5 47.3 429.2 47.7 1.19e3 48.2 100.2
48.9 361.0 49.1 3.5 49.6 0.6e3 50.1 1.19e3 51.7 100.2
52.5 313.0 53.2 3.5 54.1 1.2e3 54.9 1.21e3 55.3 100.2
56.6 272.0 57.4 3.4 58.3 5.6e3 59.5 1.23e3 60.0 100.2
62.1 227.0 62.7 3.5 65.8 48.7e3 66.0 1.25e3 66.0 100.2
69.7 183.0 70.0 3.5 70.0 140e3 70.0 1.26e3 70.0 100.2
73.6 162.0 73.9 3.4 74.1 250e3 74.0 1.28e3 74.0 100.2
78.1 143.6 78.0 2.9 78.0 291e3 78.0 1.28e3 78.0 100.2
82.0 128.0 82.1 3.1 82.0 340e3 82.0 1.3e3 82.0 100.2
85.1 117.5 85.1 3.0 85.1 358e3 84.8 1.32e3 84.9 100.2
90.1 99.7 90.1 2.9 90.0 370e3 89.9 1.34e3 90.0 100.3
93.4 86.2 94.5 3.0 95.1 369.9e3 95.2 1.35e3 95.1 100.3
95.2 83.0 96.0 3.3 98.0 330.1e3 98.0 1.36e3 98.7 100.3
98.8 78.5 98.9 4.2 99.0 377.1e3 99.1 1.37e3 99.1 100.3
